geo_level,geo_code,name,variable,value
subcounty,,Kisumu East,Total,220997
subcounty,,Kisumu West,Female,87121
subcounty,,Kisumu West,Male,85697
subcounty,,Kisumu West,Total,172821
subcounty,,Kisumu West,Intersex,3
subcounty,,Kitui Central,Total,105991
subcounty,,Kitui Central,Female,53863
subcounty,,Kitui Central,Intersex,5
subcounty,,Kitui Central,Male,52123
subcounty,,Kitui West,Male,33887
subcounty,,Kitui West,Total,70871
subcounty,,Kitui West,Intersex,1
subcounty,,Kitui West,Female,36983
subcounty,,Kitutu Central,Total,154175
subcounty,,Kitutu Central,Intersex,6
subcounty,,Kitutu Central,Female,79561
subcounty,,Kitutu Central,Male,74608
subcounty,,Koibatek,Total,129535
subcounty,,Koibatek,Female,64238
subcounty,,Koibatek,Intersex,2
subcounty,,Koibatek,Male,65295
subcounty,,Konoin,Intersex,3
subcounty,,Konoin,Male,83120
subcounty,,Konoin,Total,163507
subcounty,,Konoin,Female,80384
subcounty,,Kuresoi North,Total,175074
subcounty,,Kuresoi North,Male,87472
subcounty,,Kuresoi North,Intersex,3
subcounty,,Kuresoi North,Female,87599
subcounty,,Kuresoi South,Male,78204
subcounty,,Kuresoi South,Total,155324
subcounty,,Kuresoi South,Intersex,3
subcounty,,Kuresoi South,Female,77117
subcounty,,Kuria East,Female,49894
subcounty,,Kuria East,Total,96872
subcounty,,Kuria East,Male,46969
subcounty,,Kuria East,Intersex,9
subcounty,,Kuria West,Male,101090
subcounty,,Kuria West,Female,107417
subcounty,,Kuria West,Total,208513
subcounty,,Kuria West,Intersex,6
subcounty,,Kutulo,Female,36593
subcounty,,Kutulo,Male,35799
subcounty,,Kutulo,Intersex,2
subcounty,,Kutulo,Total,72394
subcounty,,Kwanza,Male,100234
subcounty,,Kwanza,Total,203821
subcounty,,Kwanza,Female,103584
subcounty,,Kwanza,Intersex,3
subcounty,,Kyuso,Female,40077
subcounty,,Kyuso,Intersex,1
subcounty,,Kyuso,Male,36789
subcounty,,Kyuso,Total,76867
subcounty,,Lafey,Intersex,5
subcounty,,Lafey,Total,83457
subcounty,,Lafey,Female,42976
subcounty,,Lafey,Male,40476
subcounty,,Lagdera,Female,25291
subcounty,,Lagdera,Total,50315
subcounty,,Lagdera,Male,25023
subcounty,,Lagdera,Intersex,1
subcounty,,Laikipia Central,Total,95594
subcounty,,Laikipia Central,Female,47705
subcounty,,Laikipia Central,Male,47888
subcounty,,Laikipia Central,Intersex,1
subcounty,,Laikipia East,Female,50732
subcounty,,Laikipia East,Male,52078
subcounty,,Laikipia East,Intersex,5
subcounty,,Laikipia East,Total,102815
subcounty,,Laikipia North,Total,36184
subcounty,,Laikipia North,Male,18067
subcounty,,Laikipia North,Intersex,1
subcounty,,Laikipia North,Female,18116
subcounty,,Laikipia West,Total,129263
subcounty,,Laikipia West,Male,65158
